City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_weather
96,Acari,PE,2023-01-30 01:53:05,-15.4311,-74.6158,74.52,82,100,3.04,Clouds
97,Kenai,US,2023-01-30 01:53:06,60.5544,-151.2583,30.29,92,100,0.0,Clouds
98,Faanui,PF,2023-01-30 01:53:07,-16.4833,-151.75,81.82,71,16,11.45,Clouds
99,Oktyabrskiy,RU,2023-01-30 01:53:07,54.4815,53.471,4.71,98,98,6.46,Clouds
100,Zhigansk,RU,2023-01-30 01:53:08,66.7697,123.3711,-46.73,98,85,7.0,Clouds
101,Kapaa,US,2023-01-30 01:53:09,22.0752,-159.319,74.48,57,100,7.0,Clouds
102,Lasa,IT,2023-01-30 01:53:09,46.6166,10.7002,24.37,47,8,5.17,Clear
103,Flin Flon,CA,2023-01-30 01:53:11,54.7682,-101.865,-12.84,95,100,7.2,Clouds
104,Pangnirtung,CA,2023-01-30 01:53:11,66.1451,-65.7125,-31.0,68,0,0.0,Clear
105,Naze,JP,2023-01-30 01:53:12,28.3667,129.4833,54.52,52,39,13.27,Clouds
106,Punta Arenas,CL,2023-01-30 01:53:13,-53.15,-70.9167,50.11,76,75,8.05,Rain
107,Narsaq,GL,2023-01-30 01:45:28,60.9167,-46.05,8.82,71,100,7.99,Clouds
108,Victoria,HK,2023-01-30 01:41:29,22.2855,114.1577,61.95,41,6,3.0,Clear
109,Majene,ID,2023-01-30 01:53:15,-3.5403,118.9707,84.4,68,96,4.16,Clouds
110,Isiro,CD,2023-01-30 01:53:15,2.7739,27.616,62.91,80,4,3.02,Clear
111,Taoudenni,ML,2023-01-30 01:53:16,22.6783,-3.9836,57.07,15,27,10.6,Clouds
112,Ambon,ID,2023-01-30 01:53:17,-3.6954,128.1814,84.34,74,40,3.44,Clouds
113,Nanlong,CN,2023-01-30 01:53:18,31.3533,106.0631,47.52,40,0,4.0,Clear
114,Tessalit,ML,2023-01-30 01:53:18,20.1986,1.0114,52.75,12,37,8.43,Clouds
115,Halifax,CA,2023-01-30 01:53:03,44.6453,-63.5724,42.46,89,100,18.41,Rain
116,Hermanus,ZA,2023-01-30 01:43:57,-34.4187,19.2345,64.8,72,85,20.65,Clouds
117,Yerbogachen,RU,2023-01-30 01:53:20,61.2767,108.0108,1.35,99,100,2.57,Clouds
118,Dongsheng,CN,2023-01-30 01:53:21,39.8161,109.9776,20.26,27,0,8.75,Clear
119,Tasiilaq,GL,2023-01-30 01:45:14,65.6145,-37.6368,19.56,90,100,6.51,Clouds
120,Saint George,US,2023-01-30 01:52:02,37.1041,-113.5841,52.39,36,0,6.91,Clear
121,Lompoc,US,2023-01-30 01:53:23,34.6391,-120.4579,51.01,87,100,8.99,Mist
122,Kruisfontein,ZA,2023-01-30 01:53:24,-34.0033,24.7314,58.89,79,37,3.89,Clouds
123,Hualmay,PE,2023-01-30 01:53:24,-11.0964,-77.6139,71.96,83,100,6.58,Clouds
124,Katobu,ID,2023-01-30 01:53:25,-4.9408,122.5276,84.63,65,100,6.31,Rain
125,New Norfolk,AU,2023-01-30 01:43:30,-42.7826,147.0587,76.71,31,0,1.97,Clear
126,Camacari,BR,2023-01-30 01:53:27,-12.6975,-38.3242,80.37,87,0,3.6,Clear
127,Asau,RO,2023-01-30 01:53:27,46.4333,26.4,20.32,94,28,5.37,Clouds
128,Cermik,TR,2023-01-30 01:53:28,38.1361,39.4493,36.1,89,100,3.74,Clouds
129,Leh,IN,2023-01-30 01:53:29,34.1667,77.5833,17.82,96,100,1.7,Clouds
130,Manakara,MG,2023-01-30 01:53:30,-22.1333,48.0167,75.97,88,79,3.71,Clouds
131,Salamiyah,SY,2023-01-30 01:53:31,35.0113,37.0532,45.75,89,10,4.9,Clear
132,Morros,BR,2023-01-30 01:53:31,-9.4467,-46.3003,77.31,62,100,2.39,Clouds
133,Bilma,NE,2023-01-30 01:53:32,18.6853,12.9164,68.36,14,62,8.34,Clouds
134,Buena Vista,US,2023-01-30 01:53:33,43.4203,-83.8986,23.29,86,100,0.0,Clouds
135,Bengkulu,ID,2023-01-30 01:52:12,-3.8004,102.2655,80.29,75,100,4.0,Clouds
136,Wladyslawowo,PL,2023-01-30 01:53:34,54.7909,18.4009,38.55,86,100,26.35,Clouds
137,Atbasar,KZ,2023-01-30 01:45:30,51.8,68.3333,-12.32,100,57,4.25,Clouds
138,Dong Hoi,VN,2023-01-30 01:54:35,17.4833,106.6,62.69,59,58,9.42,Clouds
139,Leningradskiy,RU,2023-01-30 01:54:36,69.3833,178.4167,-5.44,97,61,6.06,Clouds
140,Tabuk,PH,2023-01-30 01:54:37,17.4189,121.4443,67.84,88,100,6.24,Clouds
141,Manuk Mangkaw,PH,2023-01-30 01:54:38,4.8,119.85,80.64,77,99,3.29,Clouds
142,Edd,ER,2023-01-30 01:54:38,13.9297,41.6925,77.67,68,8,18.28,Clear
143,Kavieng,PG,2023-01-30 01:54:39,-2.5744,150.7967,84.88,69,28,9.66,Rain
144,Prachin Buri,TH,2023-01-30 01:54:40,14.0833,101.6667,66.74,47,100,9.98,Clouds
145,Chokurdakh,RU,2023-01-30 01:50:34,70.6333,147.9167,-31.92,98,100,5.28,Clouds
146,Yingcheng,CN,2023-01-30 01:54:42,30.95,113.55,48.94,26,0,6.58,Clear
147,Iqaluit,CA,2023-01-30 01:54:42,63.7506,-68.5145,-33.07,75,75,3.44,Clouds
148,Sao Joao Da Barra,BR,2023-01-30 01:54:43,-21.6403,-41.0511,77.34,86,100,20.29,Clouds
149,Ushtobe,KZ,2023-01-30 01:54:44,45.2514,77.9838,7.12,88,100,5.86,Clouds
150,Severo-Kurilsk,RU,2023-01-30 01:45:30,50.6789,156.125,26.71,80,100,39.68,Snow
151,Castro,BR,2023-01-30 01:54:45,-24.7911,-50.0119,61.68,96,100,3.47,Clouds
152,Katsuura,JP,2023-01-30 01:54:46,35.1333,140.3,46.87,54,6,13.94,Clear
153,Karratha,AU,2023-01-30 01:54:47,-20.7377,116.8463,91.2,39,65,3.18,Clouds
154,Alice Springs,AU,2023-01-30 01:54:47,-23.7,133.8833,76.55,88,100,6.91,Clouds
155,Zharkent,KZ,2023-01-30 01:54:48,44.1628,80.0,13.93,78,100,1.86,Clouds
156,Hithadhoo,MV,2023-01-30 01:51:49,-0.6,73.0833,81.19,74,100,9.15,Clouds
157,Mar Del Plata,AR,2023-01-30 01:54:49,-38.0023,-57.5575,70.88,78,0,18.99,Clear
158,Moerai,PF,2023-01-30 01:54:50,-22.4333,-151.3333,79.48,75,100,8.68,Clouds
159,Bireun,ID,2023-01-30 01:54:51,5.203,96.7009,78.82,85,84,4.34,Clouds
160,Bintulu,MY,2023-01-30 01:54:51,3.1667,113.0333,77.41,94,40,4.61,Clouds
161,Gopalganj,IN,2023-01-30 01:54:52,26.4667,84.4333,58.78,64,85,1.99,Clouds
162,Aksu,CN,2023-01-30 01:46:39,41.1231,80.2644,12.85,88,100,4.27,Clouds
163,Meulaboh,ID,2023-01-30 01:52:11,4.1363,96.1285,79.5,83,44,3.85,Clouds
164,Port Elizabeth,ZA,2023-01-30 01:54:54,-33.918,25.5701,63.32,71,40,4.61,Clouds
165,Vila Franca Do Campo,PT,2023-01-30 01:54:55,37.7167,-25.4333,54.01,79,26,8.12,Clouds
166,Dingle,PH,2023-01-30 01:54:55,10.9995,122.6711,75.69,94,100,10.92,Clouds
167,Bredasdorp,ZA,2023-01-30 01:44:39,-34.5322,20.0403,64.44,69,94,16.15,Clouds
168,Igrim,RU,2023-01-30 01:54:57,63.1906,64.4162,4.75,94,100,5.99,Clouds
169,Mareeba,AU,2023-01-30 01:54:57,-17.0,145.4333,85.44,79,88,6.69,Clouds
170,Simao,CN,2023-01-30 01:54:58,22.7886,100.9748,56.08,66,2,0.67,Clear
171,Yar-Sale,RU,2023-01-30 01:54:59,66.8333,70.8333,-5.35,95,100,9.86,Clouds
172,Bluff,NZ,2023-01-30 01:54:59,-46.6,168.3333,61.21,87,100,9.22,Clouds
173,Sao Filipe,CV,2023-01-30 01:55:00,14.8961,-24.4956,70.41,69,93,14.52,Clouds
174,Aitape,PG,2023-01-30 01:55:01,-3.1374,142.3475,84.67,70,77,4.7,Clouds
175,Yulara,AU,2023-01-30 01:55:02,-25.2406,130.9889,80.13,54,100,9.26,Clouds
176,Kiruna,SE,2023-01-30 01:55:03,67.8557,20.2251,13.12,92,100,1.14,Snow
177,Olafsvik,IS,2023-01-30 01:55:03,64.8945,-23.7142,28.35,73,43,4.41,Clouds
178,Lucea,JM,2023-01-30 01:55:04,18.451,-78.1736,78.66,77,4,11.12,Clear
179,Chapais,CA,2023-01-30 01:55:05,49.7834,-74.8492,-15.02,99,39,1.52,Clouds
180,Kaitangata,NZ,2023-01-30 01:51:58,-46.2817,169.8464,62.55,82,100,9.04,Rain
181,Kapustin Yar,RU,2023-01-30 01:55:06,48.5831,45.7372,20.73,86,41,6.35,Clouds
182,Hovd,MN,2023-01-30 01:56:07,48.0056,91.6419,3.51,68,1,5.35,Clear
183,San Cristobal,VE,2023-01-30 01:56:07,7.7669,-72.225,68.18,82,68,1.97,Clouds
184,Tanout,NE,2023-01-30 01:56:08,14.9709,8.8879,70.84,13,100,9.64,Clouds
185,Bereda,ES,2023-01-30 01:56:09,43.2686,-7.5406,31.14,100,73,2.64,Clouds
186,Avarua,CK,2023-01-30 01:56:10,-21.2078,-159.775,73.45,94,100,10.36,Rain
187,Mecca,SA,2023-01-30 01:51:14,21.4267,39.8261,72.57,65,3,2.08,Clear
188,Labuhan,ID,2023-01-30 01:56:11,-6.8844,112.2051,81.39,79,100,12.08,Clouds
189,Sitka,US,2023-01-30 01:56:12,57.0531,-135.33,36.03,75,100,1.16,Clouds
190,Chuy,UY,2023-01-30 01:56:13,-33.6971,-53.4616,70.59,83,44,8.79,Clouds
191,Kulhudhuffushi,MV,2023-01-30 01:56:13,6.6221,73.07,79.81,74,33,7.31,Clouds
192,Cidreira,BR,2023-01-30 01:56:14,-30.1811,-50.2056,72.48,89,0,0.43,Clear
193,Bambous Virieux,MU,2023-01-30 01:54:46,-20.3428,57.7575,77.22,94,20,3.44,Clouds
194,Wuda,CN,2023-01-30 01:56:15,39.4994,106.7117,26.85,20,2,4.23,Clear
195,Vardo,NO,2023-01-30 01:56:16,70.3705,31.1107,31.98,86,72,18.41,Snow
196,Pevek,RU,2023-01-30 01:56:17,69.7008,170.3133,11.08,87,100,5.53,Clouds
197,Oriental,MX,2023-01-30 01:56:17,19.3667,-97.6167,56.21,71,6,3.15,Clear
198,Nzerekore,GN,2023-01-30 01:56:18,7.7562,-8.8179,70.21,79,15,2.42,Clouds
199,Shimoda,JP,2023-01-30 01:56:19,34.6667,138.95,48.56,52,2,23.4,Clear
200,Kindia,GN,2023-01-30 01:56:19,10.0569,-12.8658,67.91,86,98,3.2,Clouds
201,Lavrentiya,RU,2023-01-30 01:56:20,65.5833,-171.0,22.64,95,100,16.51,Snow
202,Mkushi,ZM,2023-01-30 01:56:21,-13.6202,29.3939,61.27,95,100,0.87,Clouds
203,Hurghada,EG,2023-01-30 01:56:22,27.2574,33.8129,68.04,45,0,11.5,Clear
204,Luanda,AO,2023-01-30 01:56:22,-8.8368,13.2343,80.6,83,20,2.3,Clouds
205,Hobyo,SO,2023-01-30 01:56:23,5.3505,48.5268,75.43,79,78,19.19,Clouds
206,Souillac,MU,2023-01-30 01:56:24,-20.5167,57.5167,73.78,94,20,3.44,Clouds
207,Batagay-Alyta,RU,2023-01-30 01:56:24,67.8006,130.4114,-38.81,95,22,3.11,Clouds
208,Togur,RU,2023-01-30 01:56:25,58.3631,82.8265,12.94,95,99,6.31,Clouds
209,Baie-Comeau,CA,2023-01-30 01:56:26,49.2168,-68.1489,8.28,85,100,6.91,Snow
210,Sijunjung,ID,2023-01-30 01:56:27,-0.6876,100.9537,77.25,85,98,1.01,Clouds
211,Coihaique,CL,2023-01-30 01:56:28,-45.5752,-72.0662,67.95,60,20,6.91,Clouds
212,Ilek,RU,2023-01-30 01:56:29,51.5271,53.3831,8.02,98,100,5.03,Clouds
213,Luderitz,NA,2023-01-30 01:46:48,-26.6481,15.1594,57.92,92,0,7.99,Clear
214,Tuktoyaktuk,CA,2023-01-30 01:56:30,69.4541,-133.0374,-18.4,76,40,4.61,Clouds
215,Hastings,GB,2023-01-30 01:56:31,50.8552,0.5729,46.29,60,66,17.47,Clouds
216,Ponta Do Sol,PT,2023-01-30 01:56:31,32.6667,-17.1,57.7,63,70,7.29,Clouds
217,Atar,MR,2023-01-30 01:56:32,20.5169,-13.0499,58.57,43,89,8.57,Clouds
218,Yemelyanovo,RU,2023-01-30 01:56:33,56.1681,92.6767,15.08,73,40,8.95,Snow
219,Emba,KZ,2023-01-30 01:56:34,48.8264,58.1442,1.04,97,35,3.6,Clouds
220,Georgetown,MY,2023-01-30 01:55:56,5.4112,100.3354,82.33,75,20,5.75,Clouds
221,Dwarka,IN,2023-01-30 01:56:35,22.2394,68.9678,65.32,53,0,12.19,Clear
222,Mbandaka,CD,2023-01-30 01:56:35,0.0487,18.2603,70.95,92,96,3.2,Clouds
223,Wucheng,CN,2023-01-30 01:56:36,29.6008,118.175,49.19,36,0,1.61,Clear
224,Kununurra,AU,2023-01-30 01:56:37,-15.7667,128.7333,82.38,78,100,9.22,Clouds
225,Kautokeino,NO,2023-01-30 01:56:38,69.0125,23.0412,4.51,99,100,2.55,Clouds
226,Bondo,CD,2023-01-30 01:56:39,3.8146,23.6866,66.0,70,0,2.66,Clear
227,Catamarca,AR,2023-01-30 01:54:10,-28.4696,-65.7852,76.59,88,99,1.99,Clouds
228,Lorengau,PG,2023-01-30 01:56:40,-2.0226,147.2712,84.0,73,27,3.87,Clouds
229,Thompson,CA,2023-01-30 01:56:43,55.7435,-97.8558,-23.64,76,20,3.44,Clouds
230,Kollam,IN,2023-01-30 01:57:41,8.8833,76.6,73.47,80,15,5.19,Clouds
231,Crepy-En-Valois,FR,2023-01-30 01:57:42,49.2336,2.8881,39.33,87,100,11.12,Clouds
232,Andenes,NO,2023-01-30 01:57:42,69.3143,16.1194,31.98,69,75,12.66,Clouds
233,La Ronge,CA,2023-01-30 01:57:43,55.1001,-105.2842,-9.15,70,40,6.91,Clouds
234,Richards Bay,ZA,2023-01-30 01:57:44,-28.783,32.0377,67.44,79,100,8.46,Clouds
235,Frankfurt,DE,2023-01-30 01:54:41,50.1167,8.6833,35.37,83,75,16.11,Drizzle
236,Nishihara,JP,2023-01-30 01:57:45,26.1842,127.7558,60.08,48,75,14.97,Clouds
237,Rocha,UY,2023-01-30 01:57:46,-34.4833,-54.3333,69.69,80,74,6.49,Clouds
238,Rio Claro,BR,2023-01-30 01:57:47,-22.4114,-47.5614,68.97,92,36,3.96,Clouds
